Date,Double/Triple Header Num,Team,Team (Long),League,Team Game Number,Home / Away,Opponent,Opponent (Long),Opponent's League,Opponent's Game Number,Team Score,Opponent's Score,Win,Loss,Tie,Win / Loss Margin,Day / Night,Park ID,Attendance,Game Length (Minutes),At Bats,Hits,Doubles,Triples,Home Runs,RBI,Sacrifice Hits,Sacrifice Flies,Hit By Pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into Double Plays,Awarded First on Catcher's Interference,Left on Base,Pitchers Used,Individual Earned Runs,Team Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
4/9/12,0,Royals,Kansas City Royals,American,4,Away,Athletics,Oakland Athletics,American,5,0,1,0,1,0,-1,N,OAK01,10054,154,27,3,3,0,0,0,0,0,0,4,0,1,0,2,0,0,4,3,1,1,1,0,24,11,1,0,1,0
4/9/12,0,Mariners,Seattle Mariners,American,5,Away,Rangers,Texas Rangers,American,4,5,11,0,1,0,-6,N,ARL02,42003,192,38,11,2,0,0,5,0,0,1,4,0,7,0,0,0,0,11,4,11,11,0,0,24,12,0,0,1,0
4/9/12,0,Red Sox,Boston Red Sox,American,4,Away,Blue Jays,Toronto Blue Jays,American,4,4,2,1,0,0,2,N,TOR02,48473,182,31,7,2,0,1,3,0,1,0,4,0,6,0,1,1,0,5,3,2,2,0,0,27,9,0,0,1,0
4/9/12,0,Brewers,Milwaukee Brewers,National,4,Away,Cubs,Chicago Cubs,National,4,7,5,1,0,0,2,N,CHI11,38136,202,33,11,3,1,1,7,2,2,1,3,0,10,2,1,0,0,7,6,5,5,0,0,27,7,3,0,1,0
4/9/12,0,Cardinals,St. Louis Cardinals,National,5,Away,Reds,Cincinnati Reds,National,4,7,1,1,0,0,6,N,CIN09,16909,164,33,9,2,0,3,7,0,1,0,7,0,10,0,1,1,0,7,3,0,0,0,0,27,16,2,0,1,0
4/9/12,0,Giants,San Francisco Giants,National,4,Away,Rockies,Colorado Rockies,National,4,7,0,1,0,0,7,D,DEN02,49282,172,37,10,3,0,1,7,0,0,0,7,0,6,0,1,1,0,10,1,0,0,0,0,27,9,1,0,0,0
4/9/12,0,Braves,Atlanta Braves,National,4,Away,Astros,Houston Astros,National,4,3,8,0,1,0,-5,N,HOU03,17095,166,34,7,1,0,0,3,0,0,0,1,0,8,0,0,0,0,5,3,5,5,0,0,24,10,4,0,1,0
4/9/12,0,Nationals,Washington Nationals,National,4,Away,Mets,New York Mets,National,4,3,4,0,1,0,-1,N,NYC20,23970,198,35,10,1,1,0,3,0,0,0,4,0,10,0,0,2,0,9,3,3,3,0,0,24,7,2,0,0,0
4/9/12,0,Dodgers,Los Angeles Dodgers,National,5,Away,Phillies,Philadelphia Phillies,National,4,6,2,1,0,0,4,D,PHI13,45574,159,35,11,3,0,3,6,0,0,0,0,0,11,2,1,2,0,2,4,2,2,0,1,27,10,0,0,0,0
4/10/12,0,Yankees,New York Yankees,American,5,Away,Orioles,Baltimore Orioles,American,5,5,4,1,0,0,1,N,BAL12,24659,278,46,12,4,0,1,4,1,1,2,3,1,14,1,0,0,0,12,7,3,3,5,0,36,13,1,0,0,0
4/10/12,0,Rays,Tampa Bay Rays,American,4,Away,Tigers,Detroit Tigers,American,4,2,5,0,1,0,-3,D,DET05,22574,155,33,8,1,0,0,2,0,0,1,1,0,7,0,1,0,0,6,3,5,5,1,0,24,5,0,0,1,0
4/10/12,0,Royals,Kansas City Royals,American,5,Away,Athletics,Oakland Athletics,American,6,3,0,1,0,0,3,N,OAK01,10670,133,27,7,2,0,1,3,0,1,0,2,0,3,0,2,0,0,4,2,0,0,0,0,21,6,0,0,1,0
4/10/12,0,Mariners,Seattle Mariners,American,6,Away,Rangers,Texas Rangers,American,5,0,1,0,1,0,-1,N,ARL02,25753,143,30,4,0,0,0,0,0,0,0,2,0,5,0,0,1,0,5,2,1,1,1,0,24,8,2,0,0,0
4/10/12,0,Red Sox,Boston Red Sox,American,5,Away,Blue Jays,Toronto Blue Jays,American,5,3,7,0,1,0,-4,N,TOR02,26351,199,34,9,5,0,0,3,0,1,0,5,0,9,0,0,1,0,10,3,7,7,0,0,24,5,0,0,0,0
4/10/12,0,Brewers,Milwaukee Brewers,National,5,Away,Cubs,Chicago Cubs,National,5,7,4,1,0,0,3,N,CHI11,37265,199,33,7,1,0,2,7,0,1,3,7,0,5,1,1,0,0,10,5,3,3,0,0,27,13,2,0,2,0
